Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Units	Exposure_Units	Methylation_Array	Tissue	Further_Details	N	N_Cohorts	Age	Sex	Ancestry	StudyID
Christiansen C	TwinsUK, NSHD, NCDS1, NCDS2, BCS70	33593402	2021-02-16	Smoking	EFO_0004318, EFO_0006527	Current vs never smoking meta-analysis in European samples	Table S1	DNA methylation	Smoking	Sex, cell composition (reference based), body mass index, batch effects, relatedness	Beta Values	NA	Illumina HumanMethylationEPIC	Whole blood	NA	912	5	Adults	Both	European	33593402_Christiansen-C_smoking_current_vs_never_smoking_meta-analysis_in_european_samples
Christiansen C	TwinsUK, NSHD, NCDS1, NCDS2, BCS70	33593402	2021-02-16	Smoking	EFO_0004318, EFO_0006527	Former vs never smoking meta-analysis in European samples	Table S3	DNA methylation	Smoking	Sex, cell composition (reference based), body mass index, batch effects, relatedness	Beta Values	NA	Illumina HumanMethylationEPIC	Whole blood	NA	1140	5	Adults	Both	European	33593402_Christiansen-C_smoking_former_vs_never_smoking_meta-analysis_in_european_samples
Christiansen C	GENOA, SHS	33593402	2021-02-16	Smoking	EFO_0004318, EFO_0006527	Current vs never smoking meta-analysis in trans-ethnic samples	Table S4	DNA methylation	Smoking	Sex, cell composition (reference based), body mass index, batch effects, relatedness	Beta Values	NA	Illumina HumanMethylationEPIC	Whole blood	NA	3425	2	Adults	Both	Admixed	33593402_Christiansen-C_smoking_current_vs_never_smoking_meta-analysis_in_trans-ethnic_samples
Long P	Chinese	33499918	2021-01-27	Serum copper	EFO_0007578	Discovery	Table 2	DNA methylation	Serum copper	Age, sex, BMI, smoking, alcohol, cell composition (reference free), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	1243	1	Adults	Both	East Asian	33499918_Long-P_serum_copper_discovery
Mohammadnejad A	MADT	33528912	2021-02-02	Cognitive function	EFO_0003925, EFO_0008354	Discovery - generalized correlation coefficient (nonlinear model)	Table S2	Cognitive function	DNA methylation	Age, sex, cell composition (reference based)	General cognitive composite score	M Values	Illumina HumanMethylation450	Whole blood	Analysis of twins. Cognitive function was scored based on 5 tests: verbal fluency, attention, and working memory (digits forward and digits backward) and memory (immediate and delayed word recall)	400	1	Geriatrics	Both	European	33528912_Mohammadnejad-A_cognitive_function_discovery_-_generalized_correlation_coefficient__nonlinear_model_
Mohammadnejad A	MADT	33528912	2021-02-02	Cognitive function	EFO_0003925, EFO_0008354	Discovery - kinship model	Table S2	Cognitive function	DNA methylation	Age, sex, cell composition (reference based), kinship matrix	General cognitive composite score	M Values	Illumina HumanMethylation450	Whole blood	Analysis of twins. Cognitive function was scored based on 5 tests: verbal fluency, attention, and working memory (digits forward and digits backward) and memory (immediate and delayed word recall)	400	1	Geriatrics	Both	European	33528912_Mohammadnejad-A_cognitive_function_discovery_-_kinship_model
Park J	Korean Exposome Study	33515580	2021-01-28	prenatal lead exposure	CHEBI_25016	Meta-analysis	NA	DNA methylation	prenatal lead exposure	Sex, maternal pre-pregnancy BMI, maternal current smoking, cell composition (reference based)	Beta values	ug/L	Illumina HumanMethylationEPIC	Cord blood	NA	383	3	Infants	Both	East Asian	33515580_Park-J_prenatal_lead_exposure_meta-analysis
Park J	Korean Exposome Study	33515580	2021-01-28	prenatal lead exposure	CHEBI_25016	Meta-analysis in males only	NA	DNA methylation	prenatal lead exposure	Sex, maternal pre-pregnancy BMI, maternal current smoking, cell composition (reference based)	Beta values	ug/L	Illumina HumanMethylationEPIC	Cord blood	No reported associations in female only analysis	182	3	Infants	Both	East Asian	33515580_Park-J_prenatal_lead_exposure_meta-analysis_in_males_only
Lafontaine N	Brisbane Systems Genetics Study, Raine Study	33484127	2021-01-23	free triiodothyronine	EFO_0008392	meta-analysis	Table 2	free triiodothyronine	DNA methylation	sex, age, age squared, difference between ages at which thyroid function and DNAm were measured, and cell composition (reference based)	natural log transformed pmol/L	M Values	Illumina HumanMethylation450	Whole blood	NA	1426	2	Children	Both	Unclear	33484127_Lafontaine-N_free_triiodothyronine_meta-analysis
Lafontaine N	Brisbane Systems Genetics Study, Raine Study	33484127	2021-01-23	thyrotropin	EFO_0004748	meta-analysis	Table 2	thyrotropin	DNA methylation	sex, age, age squared, difference between ages at which thyroid function and DNAm were measured, and cell composition (reference based)	natural log transformed mU/L	M Values	Illumina HumanMethylation450	Whole blood	NA	1426	2	Children	Both	Unclear	33484127_Lafontaine-N_thyrotropin_meta-analysis
Sharp G	PACE	33517419	2021-01-29	Paternal body mass index	EFO_0004340	Adjusted for maternal BMI using cord blood in males only	https://osf.io/ebtw7/	DNA methylation	Paternal body mass index	maternal bmi, cell composition (reference based), batch effects, maternal age, paternal age, maternal smoking during pregnancy, paternal smoking during or prior to pregnancy, socio-economic position and maternal parity	Beta Values	kg/m2	Illumina HumanMethylation450, Illumina HumanMethylationEPIC	Cord blood	Probes that were common to both arrays were included in the meta-analysis	2530	13	Infants	Males	European, Admixed, South Asian	33517419_Sharp-G_paternal_body_mass_index_adjusted_for_maternal_bmi_using_cord_blood_in_males_only
Sharp G	PACE	33517419	2021-01-29	Paternal body mass index	EFO_0004340	Adjusted for maternal BMI using cord blood	https://osf.io/ebtw7/	DNA methylation	Paternal body mass index	maternal bmi, cell composition (reference based), batch effects, maternal age, paternal age, maternal smoking during pregnancy, paternal smoking during or prior to pregnancy, socio-economic position and maternal parity	Beta Values	kg/m2	Illumina HumanMethylation450, Illumina HumanMethylationEPIC	Cord blood	Probes that were common to both arrays were included in the meta-analysis	4894	13	Infants	Both	European, Admixed, South Asian	33517419_Sharp-G_paternal_body_mass_index_adjusted_for_maternal_bmi_using_cord_blood
Sharp G	PACE	33517419	2021-01-29	Paternal body mass index	EFO_0004340	Unadjusted for maternal BMI using cord blood	https://osf.io/ebtw7/	DNA methylation	Paternal body mass index	cell composition (reference based), batch effects, maternal age, paternal age, maternal smoking during pregnancy, paternal smoking during or prior to pregnancy, socio-economic position and maternal parity	Beta Values	kg/m2	Illumina HumanMethylation450, Illumina HumanMethylationEPIC	Cord blood	Probes that were common to both arrays were included in the meta-analysis	4894	13	Infants	Both	European, Admixed, South Asian	33517419_Sharp-G_paternal_body_mass_index_unadjusted_for_maternal_bmi_using_cord_blood
Sharp G	PACE	33517419	2021-01-29	Paternal body mass index	EFO_0004340	Adjusted for maternal BMI using cord blood in females only	https://osf.io/ebtw7/	DNA methylation	Paternal body mass index	maternal bmi, cell composition (reference based), batch effects, maternal age, paternal age, maternal smoking during pregnancy, paternal smoking during or prior to pregnancy, socio-economic position and maternal parity	Beta Values	kg/m2	Illumina HumanMethylation450, Illumina HumanMethylationEPIC	Cord blood	Probes that were common to both arrays were included in the meta-analysis	2337	13	Infants	Females	European, Admixed, South Asian	33517419_Sharp-G_paternal_body_mass_index_adjusted_for_maternal_bmi_using_cord_blood_in_females_only
Sharp G	PACE	33517419	2021-01-29	Paternal body mass index	EFO_0004340	Adjusted for maternal BMI using whole blood in childhood in males only	https://osf.io/ebtw7/	DNA methylation	Paternal body mass index	maternal bmi, cell composition (reference based), batch effects, maternal age, paternal age, maternal smoking during pregnancy, paternal smoking during or prior to pregnancy, socio-economic position and maternal parity	Beta Values	kg/m2	Illumina HumanMethylation450, Illumina HumanMethylationEPIC	Whole blood	Probes that were common to both arrays were included in the meta-analysis	1022	6	Children	Males	European, Admixed	33517419_Sharp-G_paternal_body_mass_index_adjusted_for_maternal_bmi_using_whole_blood_in_childhood_in_males_only
Sharp G	PACE	33517419	2021-01-29	Paternal body mass index	EFO_0004340	Adjusted for maternal BMI using whole blood in childhood	https://osf.io/ebtw7/	DNA methylation	Paternal body mass index	maternal bmi, cell composition (reference based), batch effects, maternal age, paternal age, maternal smoking during pregnancy, paternal smoking during or prior to pregnancy, socio-economic position and maternal parity	Beta Values	kg/m2	Illumina HumanMethylation450, Illumina HumanMethylationEPIC	Whole blood	Probes that were common to both arrays were included in the meta-analysis	1982	6	Children	Both	European, Admixed	33517419_Sharp-G_paternal_body_mass_index_adjusted_for_maternal_bmi_using_whole_blood_in_childhood
Sharp G	PACE	33517419	2021-01-29	Paternal body mass index	EFO_0004340	Unadjusted for maternal BMI using whole blood in childhood	https://osf.io/ebtw7/	DNA methylation	Paternal body mass index	cell composition (reference based), batch effects, maternal age, paternal age, maternal smoking during pregnancy, paternal smoking during or prior to pregnancy, socio-economic position and maternal parity	Beta Values	kg/m2	Illumina HumanMethylation450, Illumina HumanMethylationEPIC	Whole blood	Probes that were common to both arrays were included in the meta-analysis	1982	6	Children	Both	European, Admixed	33517419_Sharp-G_paternal_body_mass_index_unadjusted_for_maternal_bmi_using_whole_blood_in_childhood
Sharp G	PACE	33517419	2021-01-29	Paternal body mass index	EFO_0004340	Adjusted for maternal BMI using whole blood in childhood in females only	https://osf.io/ebtw7/	DNA methylation	Paternal body mass index	maternal bmi, cell composition (reference based), batch effects, maternal age, paternal age, maternal smoking during pregnancy, paternal smoking during or prior to pregnancy, socio-economic position and maternal parity	Beta Values	kg/m2	Illumina HumanMethylation450, Illumina HumanMethylationEPIC	Whole blood	Probes that were common to both arrays were included in the meta-analysis	960	6	Children	Females	European, Admixed	33517419_Sharp-G_paternal_body_mass_index_adjusted_for_maternal_bmi_using_whole_blood_in_childhood_in_females_only
Sharp G	PACE	33517419	2021-01-29	Maternal body mass index	EFO_0004340	Adjusted for paternal BMI using cord blood in males only	https://osf.io/ebtw7/	DNA methylation	Maternal body mass index	paternal bmi, cell composition (reference based), batch effects, maternal age, paternal age, maternal smoking during pregnancy, paternal smoking during or prior to pregnancy, socio-economic position and maternal parity	Beta Values	kg/m2	Illumina HumanMethylation450, Illumina HumanMethylationEPIC	Cord blood	Probes that were common to both arrays were included in the meta-analysis	2530	13	Infants	Males	European, Admixed, South Asian	33517419_Sharp-G_maternal_body_mass_index_adjusted_for_paternal_bmi_using_cord_blood_in_males_only
Sharp G	PACE	33517419	2021-01-29	Maternal body mass index	EFO_0004340	Adjusted for paternal BMI using cord blood	https://osf.io/ebtw7/	DNA methylation	Maternal body mass index	paternal bmi, cell composition (reference based), batch effects, maternal age, paternal age, maternal smoking during pregnancy, paternal smoking during or prior to pregnancy, socio-economic position and maternal parity	Beta Values	kg/m2	Illumina HumanMethylation450, Illumina HumanMethylationEPIC	Cord blood	Probes that were common to both arrays were included in the meta-analysis	4894	13	Infants	Both	European, Admixed, South Asian	33517419_Sharp-G_maternal_body_mass_index_adjusted_for_paternal_bmi_using_cord_blood
Sharp G	PACE	33517419	2021-01-29	Maternal body mass index	EFO_0004340	Unadjusted for paternal BMI using cord blood	https://osf.io/ebtw7/	DNA methylation	Maternal body mass index	cell composition (reference based), batch effects, maternal age, paternal age, maternal smoking during pregnancy, paternal smoking during or prior to pregnancy, socio-economic position and maternal parity	Beta Values	kg/m2	Illumina HumanMethylation450, Illumina HumanMethylationEPIC	Cord blood	Probes that were common to both arrays were included in the meta-analysis	4894	13	Infants	Both	European, Admixed, South Asian	33517419_Sharp-G_maternal_body_mass_index_unadjusted_for_paternal_bmi_using_cord_blood
Sharp G	PACE	33517419	2021-01-29	Maternal body mass index	EFO_0004340	Adjusted for paternal BMI using cord blood in females only	https://osf.io/ebtw7/	DNA methylation	Maternal body mass index	paternal bmi, cell composition (reference based), batch effects, maternal age, paternal age, maternal smoking during pregnancy, paternal smoking during or prior to pregnancy, socio-economic position and maternal parity	Beta Values	kg/m2	Illumina HumanMethylation450, Illumina HumanMethylationEPIC	Cord blood	Probes that were common to both arrays were included in the meta-analysis	2337	13	Infants	Females	European, Admixed, South Asian	33517419_Sharp-G_maternal_body_mass_index_adjusted_for_paternal_bmi_using_cord_blood_in_females_only
Sharp G	PACE	33517419	2021-01-29	Maternal body mass index	EFO_0004340	Adjusted for paternal BMI using whole blood in childhood in males only	https://osf.io/ebtw7/	DNA methylation	Maternal body mass index	paternal bmi, cell composition (reference based), batch effects, maternal age, paternal age, maternal smoking during pregnancy, paternal smoking during or prior to pregnancy, socio-economic position and maternal parity	Beta Values	kg/m2	Illumina HumanMethylation450, Illumina HumanMethylationEPIC	Whole blood	Probes that were common to both arrays were included in the meta-analysis	1022	6	Children	Males	European, Admixed	33517419_Sharp-G_maternal_body_mass_index_adjusted_for_paternal_bmi_using_whole_blood_in_childhood_in_males_only
Sharp G	PACE	33517419	2021-01-29	Maternal body mass index	EFO_0004340	Adjusted for paternal BMI using whole blood in childhood	https://osf.io/ebtw7/	DNA methylation	Maternal body mass index	paternal bmi, cell composition (reference based), batch effects, maternal age, paternal age, maternal smoking during pregnancy, paternal smoking during or prior to pregnancy, socio-economic position and maternal parity	Beta Values	kg/m2	Illumina HumanMethylation450, Illumina HumanMethylationEPIC	Whole blood	Probes that were common to both arrays were included in the meta-analysis	1982	6	Children	Both	European, Admixed	33517419_Sharp-G_maternal_body_mass_index_adjusted_for_paternal_bmi_using_whole_blood_in_childhood
Sharp G	PACE	33517419	2021-01-29	Maternal body mass index	EFO_0004340	Unadjusted for paternal BMI using whole blood in childhood	https://osf.io/ebtw7/	DNA methylation	Maternal body mass index	cell composition (reference based), batch effects, maternal age, paternal age, maternal smoking during pregnancy, paternal smoking during or prior to pregnancy, socio-economic position and maternal parity	Beta Values	kg/m2	Illumina HumanMethylation450, Illumina HumanMethylationEPIC	Whole blood	Probes that were common to both arrays were included in the meta-analysis	1982	6	Children	Both	European, Admixed	33517419_Sharp-G_maternal_body_mass_index_unadjusted_for_paternal_bmi_using_whole_blood_in_childhood
Sharp G	PACE	33517419	2021-01-29	Maternal body mass index	EFO_0004340	Adjusted for paternal BMI using whole blood in childhood in females only	https://osf.io/ebtw7/	DNA methylation	Maternal body mass index	paternal bmi, cell composition (reference based), batch effects, maternal age, paternal age, maternal smoking during pregnancy, paternal smoking during or prior to pregnancy, socio-economic position and maternal parity	Beta Values	kg/m2	Illumina HumanMethylation450, Illumina HumanMethylationEPIC	Whole blood	Probes that were common to both arrays were included in the meta-analysis	960	6	Children	Females	European, Admixed	33517419_Sharp-G_maternal_body_mass_index_adjusted_for_paternal_bmi_using_whole_blood_in_childhood_in_females_only
Xu R	Boston Birth Cohort	33663600	2021-03-04	maternal smoking	EFO_0004318, EFO_0006527, EFO_0005671, EFO_0002950	Discovery	Table S1	DNA methylation	maternal smoking	gestational age, sex, maternal age, maternal education, race, maternal BMI, maternal alcohol consumption, maternal diabetes, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylationEPIC	Cord blood	NA	954	1	Infants	Both	Admixed	33663600_Xu-R_maternal_smoking_discovery
Xu R	Boston Birth Cohort	33663600	2021-03-04	maternal smoking	EFO_0004318, EFO_0006527, EFO_0005671, EFO_0002950	Discovery, black only	Table S2	DNA methylation	maternal smoking	gestational age, sex, maternal age, maternal education, race, maternal BMI, maternal alcohol consumption, maternal diabetes, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylationEPIC	Cord blood	NA	679	1	Infants	Both	African	33663600_Xu-R_maternal_smoking_discovery__black_only
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 3667093 (gene symbol: PDPR)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 3667093 (gene symbol: PDPR)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__3667093__gene_symbol__pdpr__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 2954280 (gene symbol: PEX6)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 2954280 (gene symbol: PEX6)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__2954280__gene_symbol__pex6__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 2939069 (gene symbol: SERPINB6)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 2939069 (gene symbol: SERPINB6)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__2939069__gene_symbol__serpinb6__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 3924783 (gene symbol: PRMT2)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 3924783 (gene symbol: PRMT2)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__3924783__gene_symbol__prmt2__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 3995392 (gene symbol: ZNF185)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 3995392 (gene symbol: ZNF185)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__3995392__gene_symbol__znf185__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 2900974 (gene symbol: HLA-F)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 2900974 (gene symbol: HLA-F)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__2900974__gene_symbol__hla-f__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 3755903 (gene symbol: GSDMB)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 3755903 (gene symbol: GSDMB)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__3755903__gene_symbol__gsdmb__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 3586834 (gene symbol: FAN1)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 3586834 (gene symbol: FAN1)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__3586834__gene_symbol__fan1__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 2984884 (gene symbol: RNASET2)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 2984884 (gene symbol: RNASET2)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__2984884__gene_symbol__rnaset2__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 2692136 (gene symbol: HSPBAP1)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 2692136 (gene symbol: HSPBAP1)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__2692136__gene_symbol__hspbap1__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 3751002 (gene symbol: RAB34)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 3751002 (gene symbol: RAB34)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__3751002__gene_symbol__rab34__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 2334706 (gene symbol: NSUN4)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 2334706 (gene symbol: NSUN4)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__2334706__gene_symbol__nsun4__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 2562965 (gene symbol: CD8B)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 2562965 (gene symbol: CD8B)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__2562965__gene_symbol__cd8b__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 2533670 (gene symbol: AGAP1)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 2533670 (gene symbol: AGAP1)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__2533670__gene_symbol__agap1__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 3756591 (gene symbol: KRT23)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 3756591 (gene symbol: KRT23)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__3756591__gene_symbol__krt23__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 3503164 (gene symbol: CDC16)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 3503164 (gene symbol: CDC16)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__3503164__gene_symbol__cdc16__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 3678147 (gene symbol: NMRAL1)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 3678147 (gene symbol: NMRAL1)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__3678147__gene_symbol__nmral1__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 2350922 (gene symbol: GSTM4)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 2350922 (gene symbol: GSTM4)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__2350922__gene_symbol__gstm4__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 3442785 (gene symbol: CLEC4C)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 3442785 (gene symbol: CLEC4C)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__3442785__gene_symbol__clec4c__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 2562932 (gene symbol: CD8A)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 2562932 (gene symbol: CD8A)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__2562932__gene_symbol__cd8a__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 3638819 (gene symbol: CIB1)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 3638819 (gene symbol: CIB1)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__3638819__gene_symbol__cib1__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 2401643 (gene symbol: FUCA1)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 2401643 (gene symbol: FUCA1)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__2401643__gene_symbol__fuca1__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 2936857 (gene symbol: MLLT4)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 2936857 (gene symbol: MLLT4)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__2936857__gene_symbol__mllt4__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 3755934 (gene symbol: ORMDL3)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 3755934 (gene symbol: ORMDL3)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__3755934__gene_symbol__ormdl3__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 4013549 (gene symbol: ITM2A)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 4013549 (gene symbol: ITM2A)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__4013549__gene_symbol__itm2a__meta-analysis
Yao C	FHS, KORA F4, BLSA, InCHIANTI	33752734	2021-03-22	Gene expression of Affymetrix ID: 2674762 (gene symbol: UBA7)	NA	Meta-analysis	Table S6	DNA methylation	Gene expression of Affymetrix ID: 2674762 (gene symbol: UBA7)	Age, sex, cell composition (reference based), batch effects	Beta Values	NA	Illumina HumanMethylation450	Whole blood	NA	4170	1	Adults	Both	Unclear	33752734_Yao-C_gene_expression_of_affymetrix_id__2674762__gene_symbol__uba7__meta-analysis
